Timestamp,Are you located in Israel at the moment?,What's you gender?,What's your age?,Which of the following describe best your company's industry?,What's your company's estimated ARR?,How many employees does your company has?,What's the company business model?,What's the company stage?,What's your title?,How many years do you work in your current company?,What's your seniority? ,"In addition to Product Marketing, what kind of experince do you have?",How many years of experience do you have in product marketing? ,"How many years of experience do you have in other positions except product marketing (such as marketing, products, sale, etc.) ",Which department are you part of: ,How many people does your product marketing team has?,How many product do you support as a team?,What are your main responsibilities? ,Which of the following teams do you collaborate with most frequently?,"What is your current gross salary? Please use a 5-digit number and numbers only (e.g., 35000)","Estimated total value of all compensation in addition to base salary, such as options, equity, ESPP, bonuses?",Additional workplace benefits not included in base salary,Do you feel your salary reflects your experience and role?,Do you feel the Product Marketing role is well understood and clearly defined across your organization?,Anything else you would like to add?,Which if the following AI tools you use in a daily/weekly basis? ,Which topics would you like to become better at (using AI tools)? ,Do you use AI for automation? ,"If yes, please elaborate:","Thank your your honesty and great collaboration!
Anything else you would like to add?"
12/21/2025 15:17:45,Yes,Male,40-44,Information Technology & Services,$10M–$50M,201 - 500,B2B,Mid-growth with established go-to-market team,Director of Product Marketing,2,It's my first role as PMM,Marketing,1-3,6+,Marketing,8-10,5+,"Product positioning and messaging, Customer marketing, Creating sales collateral","Product, Marketing, Sales, Sales enablement, Business Development",37000,1000,"חל״ד לגברים, חדר כושר / Freefit",8,Clear for some,,"Chat GPT, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns",No,,
12/21/2025 16:05:58,Yes,Female,40-44,Information Technology & Services,Up to $10M,51 - 200,B2B,Mid-growth with established go-to-market team,Director of Product Marketing,1,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,Marketing,5-7,1,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",40000,42000,,6,Clear for some,,"Chat GPT, Gemeni","Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 17:11:21,Yes,Male,40-44,Fintech,$250M–$500M,"501 - 1,000",B2B,Public company,Director of Product Marketing,4,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",43000,60000,"חל״ד לגברים, קורסים והכשרות, ימי חופש ללא הגבלה, חדר כושר / Freefit",8,Clear for everyone,,"Claude, Chat GPT, Gemeni","Discover AI tools for better customer insights, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 22:20:14,Yes,Female,40-44,Marketing & Advertising,$250M–$500M,"1,001 - 5,000",B2B,Late growth/scale up,Director of Product Marketing,1.5,"Senior leadership (Director, VP, C-level)",Marketing,6+,1-3,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support)","Product, Marketing, Sales, Customer Success, Sales enablement",39500,I have no idea,"קורסים והכשרות, חדר כושר / Freefit",4,Clear for everyone,Thank you!,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Analyze data faster and reach better insights using AI tools",No,,
12/22/2025 0:23:28,Yes,Male,35-39,Fintech,$10M–$50M,51 - 200,B2C,Late growth/scale up,Director of Product Marketing,3+,"Senior leadership (Director, VP, C-level)",Marketing,6+,0-1,Marketing,8-10,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Content marketing, Onboarding customers, Storytelling","Product, Marketing, Customer Success",43000,80000ils,,6,Clear for some,,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/22/2025 12:02:31,Yes,Female,35-39,Marketing & Advertising,$250M–$500M,"501 - 1,000",B2B,Public company,Director of Product Marketing,4,2-3 role as product marketing,Sales,6+,4-5,Product,2-4,5+,"Product positioning and messaging, Customer and market research, Product roadmap planning, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement",42000,47000,"חל״ד לגברים, קורסים והכשרות, חדר כושר / Freefit",10,Clear for some,,"Chat GPT, Canva, Notebook LM","Discover AI tools for better customer insights, Analyze data faster and reach better insights using AI tools",No,,
12/22/2025 23:15:30,Yes,Female,35-39,Computer Software,Up to $10M,11 - 50,B2B,Mid-growth with established go-to-market team,Director of Product Marketing,1 Month,"Mid-level management (lead, team lead)","Product, Consulting ",6+,1-3,Marketing,1,1,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Content marketing, Website management","Product, Marketing, Sales, Customer Success",44000,47000,,10,Clear for some,,"Chat GPT, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/23/2025 19:36:42,Yes,Male,35-39,Marketing & Advertising,$10M–$50M,201 - 500,B2E,Late growth/scale up,Director of Product Marketing,1,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,CEO,1,3,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Content marketing, Website management, Customers retention (PLG & SLG support), Storytelling","Product, Marketing, Sales",47000,130000,"תקציב למשרד בבית, קורסים והכשרות, טלפון",10,Clear for everyone,,"Claude, Gemeni, Notebook LM, gamma","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/25/2025 22:47:24,Yes,Female,35-39,Pharmaceuticals,$100M–$250M,"10,000+",B2B,Public company,Director of Product Marketing,1,"Senior leadership (Director, VP, C-level)","Marketing, Sales, Customer Success / Support",6+,4-5,Marketing,2-4,5+,"Product positioning and messaging, Managing product launches, Creating sales collateral, Content marketing, Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing, Customer Success, Sales enablement, Delivery/operations",36500,38000,"חדר כושר / Freefit, קייטרינג",2,Clear for some,,"Claude, Chat GPT, Perplexity, Copilot","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/30/2025 16:23:18,Yes,Female,40-44,Information Technology & Services,Up to $10M,11 - 50,B2B,Early post-product market fit,Director of Product Marketing,2,"Senior leadership (Director, VP, C-level)",Product,6+,4-5,Marketing,1,2,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Content marketing, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, R&D",40000,40000,Cibus,8,Clear for some,,"Claude, Chat GPT, Gemeni, Notion AI, Canva, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,,
1/6/2026 12:09:51,Yes,Female,45-54,Computer Software,Up to $10M,11 - 50,B2E,Early pre-product market fit,Director of Product Marketing,10 months,"Senior leadership (Director, VP, C-level)","Marketing, Product, Technical writing and product content",4-5,6+,All of the above. Pre pmf after all,1,2,"Product positioning and messaging, Customer and market research, Creating sales collateral, Content marketing, Website management, Product roadmap planning, Storytelling, Technical writing and product content; sales enablement overall; everything marketing as it arises; events","Product, Sales",35000,0000,,5,Clear for some,,"Claude, Chat GPT, Gemeni, Notebook LM","Speed up content creation for launches, messaging, and campaigns",No,,
1/7/2026 2:06:50,Yes,Male,35-39,Computer Software,Don't Know,"1,001 - 5,000",B2B,Late growth/scale up,Director of Product Marketing,1.5,"Mid-level management (lead, team lead)","Marketing, Customer Success / Support",4-5,6+,Product,2-4,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support)","Product, Marketing, Customer Success, Sales enablement, Business Development",45000,"60,000","תקציב למשרד בבית, טלפון",4,Clear for a few,,"Chat GPT, Notion AI","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/18/2026 19:32:02,Yes,Male,55-64,Telecommunications,$100M–$250M,"1,001 - 5,000",B2B,Public company,Director of Product Marketing,3,2-3 role as product marketing,"Marketing, Sales, presales",6+,6+,Marketing,2-4,5+,"Product positioning and messaging, Customer and market research, Creating sales collateral, Content marketing, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Business Development",39000,40000,,5,Clear for a few,,"Claude, Chat GPT, Gemini, Canva, Perplexity, Notebook LM, gamma","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/22/2025 0:40:48,Yes,Female,30-34,Information Technology & Services,Up to $10M,11 - 50,B2B,Mid-growth with established go-to-market team,Head of Product Marketing,2,"Mid-level management (lead, team lead)",Marketing,6+,1-3,Marketing,2-4,1,"Product positioning and messaging, Managing product launches, Creating sales collateral, Storytelling","Product, Marketing, Sales",36000,N/A,,7,Clear for a few,,"Chat GPT, Canva","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 16:57:07,Yes,Male,40-44,Media & Entertainment,$500M–$1B,"501 - 1,000",B2B,Mid-growth with established go-to-market team,Product Marketing Lead / Team Lead,2.5,"Mid-level management (lead, team lead)",Customer Success / Support,6+,6+,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Creating sales collateral, Storytelling, Reporting on product marketing success","Product, Marketing, Customer Success, Sales enablement",40000,?,חדר כושר / Freefit,8,Clear for some,,"Chat GPT, Gemeni, Canva, Notebook LM","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows",Yes,,
12/21/2025 17:26:18,Yes,Female,35-39,Fintech,$500M–$1B,"1,001 - 5,000",B2C,Public company,Product Marketing Lead / Team Lead,2,"Mid-level management (lead, team lead)",Marketing,6+,0-1,Marketing,8-10,4,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Content marketing, Onboarding customers, Customers retention (PLG & SLG support), Storytelling","Product, Marketing",35000,38k,,8,Clear for some,,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/23/2025 13:45:21,Yes,Male,35-39,Information Technology & Services,$250M–$500M,"501 - 1,000",B2C,Public company,Product Marketing Lead / Team Lead,2,"Mid-level management (lead, team lead)",Marketing,6+,6+,Marketing,8-10,2,"Managing product launches, Customer and market research, Upsell acceleration, Creating sales collateral, Onboarding customers, Customers retention (PLG & SLG support), Reporting on product marketing success","Product, Sales",40000,48000,חדר כושר / Freefit,6,Clear for a few,,Chat GPT,"Learn how to automate repetitive tasks, Analyze data faster and reach better insights using AI tools",No,,
12/23/2025 16:47:18,Yes,Female,45-54,Fintech,$1B–$2B,"1,001 - 5,000",B2C,Public company,Product Marketing Lead / Team Lead,3,"Mid-level management (lead, team lead)",Marketing,4-5,6+,Marketing,5-7,3,"Product positioning and messaging, Managing product launches, Creating sales collateral, Website management","Product, Marketing, Sales, Customer Success, Business Development",37000,13000,"תקציב למשרד בבית, חל״ד לגברים, קורסים והכשרות, ימי חופש ללא הגבלה, חדר כושר / Freefit, Health insurance ",5,Clear for some,,"Chat GPT, Gemeni, Canva","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,You’re the best :)
12/25/2025 14:41:33,Yes,Female,40-44,B2C marketplace of freelancers,$1B–$2B,201 - 500,B2C,Public company,Product Marketing Lead / Team Lead,1,"Mid-level management (lead, team lead)",Customer Success / Support,6+,1-3,Cross,8-10,5+,"Product positioning and messaging, Managing product launches, Onboarding customers, Customers retention (PLG & SLG support), Communications, in-product experiences  ","Product, Marketing, Business Development",35000,not sure,חדר כושר / Freefit,4,Not clear at all,,Chat GPT,"Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/25/2025 14:51:31,Yes,Male,40-44,Fintech,$1B–$2B,"1,001 - 5,000",B2C,Public company,Product Marketing Lead / Team Lead,1.5,"Mid-level management (lead, team lead)","Marketing, Sales",6+,4-5,Product,5-7,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing",43000,51000,"קורסים והכשרות, טלפון, חדר כושר / Freefit",8,Clear for some,,"Chat GPT, Gemeni, Notebook LM","Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,,
12/25/2025 14:53:54,Yes,Male,40-44,Computer Software,$50M–$100M,51 - 200,B2B,Late growth/scale up,Product Marketing Lead / Team Lead,5,It's my first role as PMM,"Marketing, Sales, Customer Success / Support",1-3,6+,Marketing,2-4,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support)","Product, Marketing, Sales",40000,800000,,8,Clear for some,,"Claude, Chat GPT, Gemeni, Notebook LM","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/27/2025 0:59:23,Yes,Female,40-44,Retail,$50M–$100M,51 - 200,B2B,Early post-product market fit,Product Marketing Lead / Team Lead,1,"Mid-level management (lead, team lead)","Marketing, Design / UX",6+,4-5,Marketing,1,1,"Product positioning and messaging, Customer and market research, Content marketing, Website management, Storytelling","Product, Sales, Sales enablement",30000,None,,8,Clear for some,,"Chat GPT, Gemeni, Canva","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/28/2025 21:49:57,Yes,Female,40-44,Information Technology & Services,$50M–$100M,201 - 500,B2B,Mid-growth with established go-to-market team,Product Marketing Lead / Team Lead,1.4,"Mid-level management (lead, team lead)","Marketing, Customer Success / Support",6+,4-5,Marketing,2-4,1,"Product positioning and messaging, Managing product launches, Creating sales collateral, Website management, Onboarding customers, Reporting on product marketing success","Product, Marketing, Sales",34000,Don’t know how much the options are worth ,,6,Clear for a few,,"Claude, Chat GPT, Gemeni, Perplexity, Notebook LM, gamma","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/30/2025 22:30:10,Yes,Female,40-44,Computer Software,$10M–$50M,51 - 200,B2B,Early post-product market fit,Product Marketing Lead / Team Lead,0,"Mid-level management (lead, team lead)","Marketing, Data Analysis",4-5,6+,Marketing,5-7,1,"Product positioning and messaging, Managing product launches, Creating sales collateral, Content marketing, Onboarding customers, Customers retention (PLG & SLG support), Reporting on product marketing success","Product, Marketing, Sales, Sales enablement",40000,45000,,8,Clear for some,,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/5/2026 19:42:23,Yes,Female,35-39,Computer Software,$250M–$500M,"1,001 - 5,000",B2B,Late growth/scale up,Product Marketing Lead / Team Lead,1,"Mid-level management (lead, team lead)",Marketing,6+,6+,Marketing,8-10,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, Sales enablement",41000,41000,"קורסים והכשרות, חדר כושר / Freefit, קייטרינג",9,Clear for some,,"Chat GPT, Gemeni, Video, design and presentations.. ","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows",Yes,"We have gpts for content generation - web pages by templates, launches by platform, and emails. 
We have an internal tool to analyze sales calls
We automatically generate personalized presentations for sales(based on PMM templates..) etc. ",
1/6/2026 22:49:37,Yes,Female,40-44,Computer Software,$10M–$50M,51 - 200,B2B,Early post-product market fit,Product Marketing Lead / Team Lead,0,"Mid-level management (lead, team lead)",User Acquisition,4-5,6+,Marketing,1,1,"Product positioning and messaging, Managing product launches, Creating sales collateral, Onboarding customers, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Sales enablement",40000,"It's a start up, so hard to say",,8,Clear for some,,"Chat GPT, Gemeni, Notebook LM, N8N","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/7/2026 12:33:35,Yes,Female,35-39,Computer Software,$10M–$50M,51 - 200,Both b2c and b2b,Mid-growth with established go-to-market team,Product Marketing Lead / Team Lead,2,"Mid-level management (lead, team lead)",Marketing,4-5,6+,Product,2-4,3,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Website management, Storytelling, Reporting on product marketing success, Competitive, copy and creatives","Product, Marketing, Sales, Customer Success",37000,Not much since it's not public ,"תקציב למשרד בבית, ימי חופש ללא הגבלה, קייטרינג",7,Clear for some,,"Claude, Chat GPT, Gemeni, Perplexity, gamma","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/8/2026 0:11:04,Yes,Male,40-44,Computer Software,$100M–$250M,201 - 500,B2B,Late growth/scale up,Product Marketing Lead / Team Lead,2,2-3 role as product marketing,Marketing,4-5,6+,Product,2-4,1,"Product positioning and messaging, Managing product launches, Upsell acceleration, Creating sales collateral, Storytelling","Product, Marketing, Sales enablement",39000,39000,"קורסים והכשרות, ימי חופש ללא הגבלה, חדר כושר / Freefit",8,Clear for some,,"Chat GPT, Gemeni, Perplexity, Notebook LM","Analyze data faster and reach better insights using AI tools, Real market and customer research without hallucinations ",No,,
1/8/2026 2:48:41,Yes,Male,35-39,Marketing & Advertising,$250M–$500M,"501 - 1,000",Both b2c and b2b,Mid-growth with established go-to-market team,Product Marketing Lead / Team Lead,3,"Mid-level management (lead, team lead)",None,6+,0-1,Marketing,2-4,1,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Content marketing, Website management, Onboarding customers, Customers retention (PLG & SLG support), Product roadmap planning, Reporting on product marketing success","Product, Marketing, Sales, Sales enablement, Business Development",36000,None,,7,Clear for everyone,,"Claude, Chat GPT, Gemeni, Perplexity","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 15:56:32,Yes,Male,30-34,Computer Software,$100M–$250M,"501 - 1,000",B2B,Late growth/scale up,Product Marketing Manager,1.5,2-3 role as product marketing,Marketing,4-5,4-5,Marketing,2-4,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Storytelling","Product, Customer Success, Business Development, ",27000,"Not sure , really depends on IPO ",חדר כושר / Freefit,6,Clear for some,,"Claude, Chat GPT, Gemeni, gamma","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,Designated agents for major tasks not E2E but intial structures ,
12/21/2025 16:50:19,Yes,Female,30-34,Marketing & Advertising,$250M–$500M,"501 - 1,000",B2B,Mid-growth with established go-to-market team,Product Marketing Manager,2,2-3 role as product marketing,Sales,1-3,1-3,Marketing,5-7,3,"Product positioning and messaging, Managing product launches, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing, Customer Success",26000,1,"טלפון, חדר כושר / Freefit",7,Clear for everyone,,"Claude, Chat GPT","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,"Mainly projects in GPT
I also use Gamma for deck creation",
12/21/2025 16:52:37,Yes,Female,30-34,Computer & Network Security,$2B+,"5,001 - 10,000",B2B,Public company,Product Marketing Manager,1.5,It's my first role as PMM,Marketing,1-3,6+,Marketing,5-7,5+,Content marketing,"Marketing, R&D",29000,"Not exactly sure, but I have ESPP and my bonuses are RSUs",,10,Not clear at all,"Product marketing has become undefined and just a popular title that is losing its meaning. Content marketing has become unpopular, but that is what most of us do. meawhile, content marketers can't get jobs because they are not ""product matketers"" and if they do, their salary is much lower.","Chat GPT, Gemeni","Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
