Timestamp,Are you located in Israel at the moment?,What's you gender?,What's your age?,Which of the following describe best your company's industry?,What's your company's estimated ARR?,How many employees does your company has?,What's the company business model?,What's the company stage?,What's your title?,How many years do you work in your current company?,What's your seniority? ,"In addition to Product Marketing, what kind of experince do you have?",How many years of experience do you have in product marketing? ,"How many years of experience do you have in other positions except product marketing (such as marketing, products, sale, etc.) ",Which department are you part of: ,How many people does your product marketing team has?,How many product do you support as a team?,What are your main responsibilities? ,Which of the following teams do you collaborate with most frequently?,"What is your current gross salary? Please use a 5-digit number and numbers only (e.g., 35000)","Estimated total value of all compensation in addition to base salary, such as options, equity, ESPP, bonuses?",Additional workplace benefits not included in base salary,Do you feel your salary reflects your experience and role?,Do you feel the Product Marketing role is well understood and clearly defined across your organization?,Anything else you would like to add?,Which if the following AI tools you use in a daily/weekly basis? ,Which topics would you like to become better at (using AI tools)? ,Do you use AI for automation? ,"If yes, please elaborate:","Thank your your honesty and great collaboration!
12/21/2025 17:54:12,Yes,Female,30-34,Fintech,$250M–$500M,"501 - 1,000",B2B,Public company,Product Marketing Manager,2,2-3 role as product marketing,Marketing,4-5,1-3,Marketing,11+,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Creating sales collateral, Content marketing, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Sales enablement",27000,-,,5,Clear for some,,"Chat GPT, Notion AI, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/21/2025 18:18:44,Yes,Male,30-34,Computer Software,$500M–$1B,"1,001 - 5,000",B2E,Public company,Product Marketing Manager,1,2-3 role as product marketing,Product,4-5,6+,Marketing,8-10,2,"Product positioning and messaging, Managing product launches, Upsell acceleration, Creating sales collateral, Content marketing","Product, Marketing",34000,-,"חל״ד לגברים, חדר כושר / Freefit",7,Clear for everyone,,"Gemeni, Notebook LM","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 19:32:51,Yes,Female,35-39,"Logistics, retail, robotics ",Up to $10M,51 - 200,B2B,Early post-product market fit,Product Marketing Manager,2,2-3 role as product marketing,Marketing,4-5,4-5,Marketing,1,3,"Product positioning and messaging, Managing product launches, Creating sales collateral, Website management, Product roadmap planning, Storytelling","Product, Sales",31500,000,סיבוס,9,Clear for some,,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Discover AI tools for better customer insights",No,,
12/21/2025 21:46:55,Yes,Male,40-44,Sports Tech,$100M–$250M,"501 - 1,000",B2B,Late growth/scale up,Product Marketing Manager,Almost 2,It's my first role as PMM,Marketing,1-3,4-5,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, Sales enablement",27000,"IDK (options only, not a public company)","תקציב למשרד בבית, קורסים והכשרות, חדר כושר / Freefit",9,Clear for everyone,,"Chat GPT, Gemeni, Canva, Notebook LM","Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,Mainly for video creation and competitive analysis ,
12/21/2025 23:50:21,Yes,Female,35-39,Computer Software,$100M–$250M,"1,001 - 5,000",B2B,Public company,Product Marketing Manager,Recently joined ,It's my first role as PMM,"Marketing, Customer Success / Support, Data Analysis, Market research ",4-5,6+,Marketing,2-4,4,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling","Product, Marketing, Delivery",25500,26700,"קורסים והכשרות, חדר כושר / Freefit, קייטרינג, ימי מחלה מהיום הראשון ללא אישור מחלה, גמישות עבודה מהבית",8,Clear for everyone,,"Chat GPT, Gemeni","Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools, Better connection & engagement with customers, streamlined customer & persona research, collection of feedback from sales ",No,,
12/21/2025 23:51:59,Yes,Female,35-39,Health-tech,$10M–$50M,11 - 50,B2B,Mid-growth with established go-to-market team,Product Marketing Manager,2,It's my first role as PMM,Marketing,1-3,1-3,Product,1,1,"Product positioning and messaging, Customer and market research, Content marketing, Onboarding customers, Customers retention (PLG & SLG support), Storytelling","Product, Marketing, Sales, R&D",28000,28000,,9,Not clear at all,,"Claude, Chat GPT, Gemeni, Canva, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/22/2025 1:47:19,Yes,Female,45-54,Computer & Network Security,$10M–$50M,51 - 200,B2B,Late growth/scale up,Product Marketing Manager,1.5,2-3 role as product marketing,"Marketing, Customer Success / Support",1-3,4-5,Marketing,2-4,2,"Managing product launches, Customer and market research, Creating sales collateral","Product, Marketing",27000,36000,,4,Clear for some,,"Chat GPT, Perplexity","Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/23/2025 12:18:12,Yes,Female,35-39,Software development ,$50M–$100M,51 - 200,B2B,Late growth/scale up,Product Marketing Manager,0.5,2-3 role as product marketing,Marketing,0-1,6+,Marketing,2-4,3,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Content marketing, Storytelling","Product, Sales, Sales enablement",21000,10000,"חל״ד לגברים, קורסים והכשרות, טלפון, ימי חופש ללא הגבלה, חדר כושר / Freefit",9,Clear for a few,,"Chat GPT, Perplexity","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/23/2025 12:37:00,Yes,Male,30-34,Fintech,$100M–$250M,"501 - 1,000",B2B,Late growth/scale up,Product Marketing Manager,1.5,2-3 role as product marketing,Marketing,4-5,1-3,Marketing,2-4,3,"Product positioning and messaging, Managing product launches, Upsell acceleration, Onboarding customers, Customers retention (PLG & SLG support), Storytelling","Product, Marketing",30000,60000,"חל״ד לגברים, קורסים והכשרות, חדר כושר / Freefit",4,Clear for a few,,"Chat GPT, Gemeni, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,No. Thank you for doing this! We missed you guys! Also when is the next pmmicon? ;)
12/23/2025 14:05:42,Yes,Male,30-34,Marketplace,Don't Know,201 - 500,B2B,Public company,Product Marketing Manager,1,2-3 role as product marketing,Marketing,1-3,4-5,Marketing,2-4,1,"Product positioning and messaging, Creating sales collateral, Onboarding customers, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Sales, Customer Success",24000,0,חדר כושר / Freefit,8,Not clear at all,,"Chat GPT, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,Bquery + Data analystics ,You guys rock <3
12/23/2025 19:45:00,Yes,Female,30-34,Marketing & Advertising,Up to $10M,11 - 50,B2B,Early post-product market fit,Product Marketing Manager,2,It's my first role as PMM,Marketing,1-3,1-3,Marketing,2-4,1,"Product positioning and messaging, Customer and market research, Content marketing, Lead gen",Sales,13000,25000,Bonuses for leads,1,Clear for a few,,"Chat GPT, Canva","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns",No,,
12/25/2025 14:19:13,Yes,Female,30-34,Ai videos & images ,Don't Know,"501 - 1,000",B2B,Late growth/scale up,Product Marketing Manager,1,It's my first role as PMM,Marketing,0-1,6+,Marketing,8-10,3,"Product positioning and messaging, Managing product launches, Customer and market research, Website management","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",30000,Options,"חדר כושר / Freefit, קייטרינג, 1000 wellness budget ",9,Clear for everyone,,"Claude, Chat GPT, Gemeni, Notion AI, gamma","Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/25/2025 14:35:58,Yes,Female,25-29,HR Tech,$10M–$50M,11 - 50,B2B,Early post-product market fit,Product Marketing Manager,1,2-3 role as product marketing,Marketing,1-3,1-3,CEO,1,1,"Product positioning and messaging, Managing product launches, Customer marketing, Content marketing, Website management, Storytelling","Product, Marketing, Sales, R&D",22000,No,,8,Not clear at all,,"Claude, Chat GPT, Canva","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns",No,,
12/25/2025 14:47:50,Yes,Male,40-44,Information Technology & Services,$10M–$50M,51 - 200,B2B,Late growth/scale up,Product Marketing Manager,0.5,2-3 role as product marketing,"Marketing, Sales, Product",4-5,6+,Product,1,3,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Onboarding customers, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Marketing, Customer Success",25000,0,,3,Not clear at all,,"Chat GPT, Gemeni, Canva, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,I've set up tasks to crawl the web and do competitor insights,
12/25/2025 14:55:17,Yes,Female,45-54,Intelligence and security ,Don't Know,"1,001 - 5,000",B2G,Public company,Product Marketing Manager,4,It's my first role as PMM,Security ,1-3,6+,Product,2-4,5+,"Product positioning and messaging, Customer marketing, Content marketing","Product, Marketing, Sales, Sales enablement",30000,?,,7,Clear for some,,"Chat GPT, Canva, Perplexity","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns",No,,
12/25/2025 15:12:12,Yes,Male,35-39,Automotive ,$50M–$100M,"501 - 1,000",B2B,Late growth/scale up,Product Marketing Manager,4,2-3 role as product marketing,"Marketing, Product",6+,6+,Marketing,5-7,5+,"Product positioning and messaging, Customer and market research, Creating sales collateral, Product roadmap planning","Product, Sales, Sales enablement",30000,400000,,3,Not clear at all,,Chat GPT,"Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/25/2025 15:32:16,Yes,Male,35-39,Computer Software,$50M–$100M,201 - 500,B2B,Mid-growth with established go-to-market team,Product Marketing Manager,1,2-3 role as product marketing,Marketing,4-5,1-3,Marketing,2-4,4,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Customers retention (PLG & SLG support), Partnerships","Product, Marketing, Sales, Customer Success",27000,20000,קורסים והכשרות,7,Clear for a few,,"Claude, Chat GPT, Gemeni, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows",Yes,Competitive landscape updates,
12/25/2025 15:35:49,Yes,Female,45-54,Computer Software,$50M–$100M,"10,000+",B2B,Late growth/scale up,Product Marketing Manager,2,It's my first role as PMM,"Marketing, Data Analysis",1-3,6+,Marketing,8-10,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Storytelling","Product, Marketing, Sales, Sales enablement",23300,25000,עבודה מהבית,4,Clear for some,,"Chat GPT, Canva","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/25/2025 16:02:57,Yes,Male,35-39,Information Technology & Services,$250M–$500M,"501 - 1,000",B2C,Public company,Product Marketing Manager,1,2-3 role as product marketing,"Marketing, Design / UX, Data Analysis",4-5,6+,Business Development,8-10,2,"Product positioning and messaging, Managing product launches, Customer and market research, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Customer Success",26000,50000,"חל״ד לגברים, חדר כושר / Freefit",4,Clear for a few,,"Claude, Chat GPT, Gemeni","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,Customer data analysis - Daily digest,
12/25/2025 16:08:41,Yes,Female,35-39,Computer Software,Don't Know,"1,001 - 5,000",B2C,Public company,Product Marketing Manager,4,2-3 role as product marketing,Marketing,4-5,6+,Marketing,11+,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Website management, Storytelling, Reporting on product marketing success",Product,25000,60000,חדר כושר / Freefit,2,Clear for everyone,,"Claude, Chat GPT, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Analyze data faster and reach better insights using AI tools",No,,
12/25/2025 17:02:04,Yes,Female,35-39,Computer Software,$100M–$250M,"1,001 - 5,000",B2B,Public company,Product Marketing Manager,Just started,It's my first role as PMM,"Marketing, Customer Success / Support",4-5,6+,Marketing,2-4,4,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling","Product, Marketing, Sales, Sales enablement, Delivery","25,500",26900,"קורסים והכשרות, חדר כושר / Freefit, קייטרינג",8,Clear for everyone,,"Chat GPT, Gemeni, Internal AI","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns",No,,
12/25/2025 17:53:06,Yes,Female,25-29,E-learning,Up to $10M,11 - 50,B2B,Early post-product market fit,Product Marketing Manager,1 week ,2-3 role as product marketing,Customer Success / Support,0-1,4-5,Marketing,1,2,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, R&D",23500,0 (equity only – 0.1% options),סיבוס,7,Clear for everyone,,"Chat GPT, Notion AI, Canva, gamma, Timeless, Base44","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,"Yes. I use AI tools like Timeless to automatically record, summarize, and extract action items from customer and internal sessions, manage everything in Notion, and distribute summaries via email.",
12/25/2025 20:39:30,Yes,Male,35-39,Maritime,$10M–$50M,51 - 200,B2B,Early post-product market fit,Product Marketing Manager,2,It's my first role as PMM,Marketing,1-3,6+,Marketing,2-4,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Onboarding customers, Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success",25000,2500,,4,Not clear at all,,"Claude, Chat GPT, Canva, Perplexity","Learn how to automate repetitive tasks, Competative analysis ",No,,"When it comes to content creation—not just refining—I don’t believe AI tools live up to the hype. At the end of the day, they can’t match the value a sharp PMM brings to the table.

It’s important not to waste time and resources on tools that don’t move the needle, especially when that energy could be better spent on what truly matters."
12/28/2025 11:55:10,Yes,Female,35-39,E-learning,$250M–$500M,51 - 200,B2B,Public company,Product Marketing Manager,1,2-3 role as product marketing,"Marketing, Customer Success / Support, Content writing ",4-5,6+,Product,2-4,5+,"Product positioning and messaging, Customer and market research, Creating sales collateral, Storytelling","Product, Marketing, Sales, Sales enablement",23000,25000,"קורסים והכשרות, חדר כושר / Freefit",4,Clear for some,,"Claude, Perplexity","Discover AI tools for better customer insights, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/28/2025 20:57:50,Yes,Female,40-44,Information Technology & Services,Up to $10M,11 - 50,B2C,Early post-product market fit,Product Marketing Manager,3,"Mid-level management (lead, team lead)",Marketing,1-3,4-5,Marketing,2-4,1,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Onboarding customers","Product, Marketing, Sales, Customer Success, Sales enablement",25000,26000,,6,Not clear at all,,"Chat GPT, Gemeni, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,Blog refreshes,
12/28/2025 22:52:13,Yes,Male,45-54,Manufacturing,$2B+,"10,000+",D2C / Physical Goods,Public company,Product Marketing Manager,2,2-3 role as product marketing,"Product, R&D",6+,6+,Product,2-4,3,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Product roadmap planning, Competitive landscape, pricing, GTM, ","Product, Sales, Business Development",37000,50000,חדר כושר / Freefit,3,Clear for everyone,,Copilot,"Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/30/2025 13:47:10,Yes,Female,30-34,Human Resources,$50M–$100M,"501 - 1,000",B2B,Public company,Product Marketing Manager,2,2-3 role as product marketing,"Marketing, Product, Data Analysis",1-3,6+,Marketing,1,5+,"Product positioning and messaging, Customer and market research, Creating sales collateral, Content marketing, Website management, Reporting on product marketing success","Marketing, Sales enablement, Business Development",21000,22000,קורסים והכשרות,3,Not clear at all,,"Chat GPT, Perplexity, gamma","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/31/2025 11:30:09,Yes,Female,35-39,Computer & Network Security,$10M–$50M,51 - 200,B2B,Mid-growth with established go-to-market team,Product Marketing Manager,3,It's my first role as PMM,Marketing,1-3,6+,Marketing,1,1,"Product positioning and messaging, Managing product launches, Creating sales collateral","Product, Sales",28000,N/A,"קורסים והכשרות, ימי חופש ללא הגבלה",2,Clear for some,,"Chat GPT, Gemeni, Notebook LM, Genspark","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/5/2026 18:05:52,Yes,Female,35-39,Computer Software,$1B–$2B,"1,001 - 5,000",B2C,Public company,Product Marketing Manager,5,It's my first role as PMM,Marketing,4-5,6+,Marketing,11+,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Onboarding customers","Product, Marketing",27000,37000,"טלפון, חדר כושר / Freefit, קייטרינג",6,Clear for some,,"Chat GPT, Gemeni",Learn how to automate repetitive tasks,No,,
1/5/2026 19:55:56,Yes,Female,25-29,Fintech,Up to $10M,11 - 50,B2B,Mid-growth with established go-to-market team,Product Marketing Manager,2,It's my first role as PMM,"Marketing, Design / UX",1-3,0-1,Marketing,1,3,"Product positioning and messaging, Managing product launches, Customer marketing, Creating sales collateral, Website management, Reporting on product marketing success","Product, Marketing, Sales, Customer Success",16000,1000,"קורסים והכשרות, cibus",4,Clear for some,,Claude,"Learn how to automate repetitive tasks, Analyze data faster and reach better insights using AI tools",No,,
1/6/2026 14:46:04,Yes,Female,40-44,Health-tech,$10M–$50M,51 - 200,B2C,Late growth/scale up,Product Marketing Manager,1.5,2-3 role as product marketing,"Marketing, Product",4-5,6+,Marketing,1,1,"Managing product launches, Customer and market research, Onboarding customers, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling, Reporting on product marketing success",R&D,25000,3000,,2,Not clear at all,,"Chat GPT, Gemeni, Canva, Notebook LM","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
1/6/2026 18:58:06,Yes,Female,30-34,Computer Software,$1B–$2B,"5,001 - 10,000",B2C,Public company,Product Marketing Manager,5,It's my first role as PMM,"Marketing, Sales",4-5,1-3,Marketing,11+,5+,"Product positioning and messaging, Customer and market research, Content marketing, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Customer Success",23000,32000,"חל״ד לגברים, קורסים והכשרות, טלפון, חדר כושר / Freefit, קייטרינג",3,Not clear at all,,"Chat GPT, Gemeni","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/6/2026 18:59:25,Yes,Female,40-44,Computer Software,$1B–$2B,"5,001 - 10,000",B2C,Public company,Product Marketing Manager,5,2-3 role as product marketing,Marketing,6+,6+,Marketing,11+,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Content marketing, Website management, Storytelling, Reporting on product marketing success","Product, Marketing, Customer Success",26000,35600,"חל״ד לגברים, קורסים והכשרות, חדר כושר / Freefit, קייטרינג",2,Clear for some,,"Chat GPT, Gemeni, Canva","Learn how to automate repetitive tasks, Analyze data faster and reach better insights using AI tools",No,,
1/6/2026 19:00:27,Yes,Female,30-34,Sites ,$2B+,"1,001 - 5,000",B2B,Public company,Product Marketing Manager,3.5,It's my first role as PMM,Economic ,4-5,1-3,Marketing,8-10,5+,Product positioning and messaging,"Product, Marketing",23000,26000,"חל״ד לגברים, טלפון, חדר כושר / Freefit, קייטרינג",10,Clear for everyone,,"Chat GPT, Gemeni",Discover AI tools for better customer insights,Yes,,
1/6/2026 19:29:02,Yes,Male,45-54,Computer Software,$10M–$50M,51 - 200,B2C,Late growth/scale up,Product Marketing Manager,0.5,2-3 role as product marketing,Marketing,1-3,6+,Product,2-4,2,"Product positioning and messaging, Customer and market research, Creating sales collateral, Reporting on product marketing success","Product, Marketing, Sales",27500,28000,תקציב למשרד בבית,9,Clear for some,,"Claude, Gemeni, gamma","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,"Scraping competitors news and sharing with company, other Zapier automation for social media monitoring, etc.",
1/6/2026 19:40:47,Yes,Male,35-39,Multidisciplinary - Industrial Hardware & Software,$100M–$250M,"1,001 - 5,000",B2B,Late growth/scale up,Product Marketing Manager,4,"Mid-level management (lead, team lead)","Marketing, Sales, Customer Success / Support",4-5,4-5,Marketing,2-4,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Creating sales collateral, Content marketing, Product roadmap planning, Reporting on product marketing success","Product, Marketing, Sales, Sales enablement, R&D",27000,350000,טלפון,2,Clear for everyone,,"Chat GPT, Gemeni, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns",No,,
